Frame,Timestamp,VehicleID,Spectator_Location,Spectator_Rotation,Vehicle_Location,Vehicle_Rotation,Vehicle_Velocity,Vehicle_Control
2719,104.9559012753889,135,"(58.200008392333984,105.77547454833984,15.253758430480957)","(-45.00000762939453,-179.9998016357422,9.211870849457071e-12)","(48.19718551635742,105.7711410522461,0.23412738740444183)","(0.49762022495269775,179.99000549316406,-1.4489742517471313)","Vector3D(x=0.011703, y=0.252050, z=1.141126)","('throttle':(0.0,),'brake':(0.14499999582767487,),'steering':(1.5404040262731974e-17,),'hand_brake':False,'gear':0)"
2720,105.00590127613395,135,"(58.19718551635742,105.76939392089844,15.234127044677734)","(-44.99998092651367,179.99000549316406,0.0)","(48.196258544921875,105.77609252929688,0.2668006420135498)","(0.6622346043586731,179.98214721679688,-1.6379088163375854)","Vector3D(x=0.001361, y=0.048165, z=0.439712)","('throttle':(0.0,),'brake':(0.1556583195924759,),'steering':(-3.205050961696543e-05,),'hand_brake':False,'gear':0)"
2721,105.05590127687901,135,"(58.196258544921875,105.77297973632812,15.266799926757812)","(-44.99998092651367,179.98214721679688,0.0)","(48.196502685546875,105.7768325805664,0.2779839336872101)","(0.6188902258872986,179.9853057861328,-1.4077144861221313)","Vector3D(x=-0.002484, y=-0.041608, z=0.103043)","('throttle':(0.0,),'brake':(0.14499999582767487,),'steering':(7.875822120695375e-06,),'hand_brake':False,'gear':0)"
2722,105.10590127762407,135,"(58.196502685546875,105.77426147460938,15.277982711791992)","(-44.99998092651367,179.9853057861328,0.0)","(48.19709777832031,105.77658081054688,0.27907508611679077)","(0.5121275782585144,179.9904327392578,-1.1142578125)","Vector3D(x=-0.003329, y=-0.047119, z=-0.043917)","('throttle':(0.0,),'brake':(0.23420347273349762,),'steering':(0.0001389970857417211,),'hand_brake':False,'gear':0)"
2723,105.15590127836913,135,"(58.19709777832031,105.77490997314453,15.279074668884277)","(-44.99998092651367,179.9904327392578,0.0)","(48.197723388671875,105.7762680053711,0.2760010063648224)","(0.3997914493083954,179.9943389892578,-0.8566589951515198)","Vector3D(x=-0.003074, y=-0.039298, z=-0.095924)","('throttle':(0.0,),'brake':(0.3290943503379822,),'steering':(5.001798490411602e-05,),'hand_brake':False,'gear':0)"
2724,105.20590127911419,135,"(58.197723388671875,105.7752685546875,15.2760009765625)","(-44.99998092651367,179.9943084716797,2.9477981167147504e-10)","(48.19826889038086,105.77601623535156,0.2716953158378601)","(0.30212655663490295,179.99681091308594,-0.651885986328125)","Vector3D(x=-0.002509, y=-0.030444, z=-0.103260)","('throttle':(0.0,),'brake':(0.2531401515007019,),'steering':(-1.5097678442543838e-05,),'hand_brake':False,'gear':0)"
2725,105.25590127985924,135,"(58.198265075683594,105.77545928955078,15.271695137023926)","(-44.99999237060547,179.99681091308594,-1.4738990583573752e-10)","(48.19871520996094,105.77582550048828,0.2674959897994995)","(0.2238730937242508,179.99827575683594,-0.49423208832740784)","Vector3D(x=-0.001934, y=-0.023057, z=-0.091916)","('throttle':(0.0,),'brake':(0.24314208328723907,),'steering':(-1.346249246125808e-05,),'hand_brake':False,'gear':0)"
2726,105.3059012806043,135,"(58.19871520996094,105.77552795410156,15.267496109008789)","(-44.99998092651367,179.99826049804688,0.0)","(48.19905090332031,105.77570343017578,0.26392096281051636)","(0.16382890939712524,179.9990997314453,-0.3742370009422302)","Vector3D(x=-0.001447, y=-0.017353, z=-0.074735)","('throttle':(0.0,),'brake':(0.27212026715278625,),'steering':(-7.056155027385103e-06,),'hand_brake':False,'gear':0)"
2727,105.35590128134936,135,"(58.19905090332031,105.77554321289062,15.263920783996582)","(-44.99998092651367,179.9990997314453,-3.684747645893438e-11)","(48.19930648803711,105.77560424804688,0.2610897719860077)","(0.11891358345746994,179.9995880126953,-0.28326416015625)","Vector3D(x=-0.001063, y=-0.013051, z=-0.057618)","('throttle':(0.0,),'brake':(0.30559927225112915,),'steering':(-3.8615576158917975e-06,),'hand_brake':False,'gear':0)"
2728,105.40590128209442,135,"(58.19930648803711,105.7755355834961,15.261088371276855)","(-44.99997329711914,179.9995574951172,0.0)","(48.19948959350586,105.7755355834961,0.25894689559936523)","(0.08585547655820847,179.99981689453125,-0.2143859565258026)","Vector3D(x=-0.000773, y=-0.009824, z=-0.042887)","('throttle':(0.0,),'brake':(0.33971866965293884,),'steering':(-3.2749585443525575e-06,),'hand_brake':False,'gear':0)"
