Frame,Timestamp,VehicleID,Spectator_Location,Spectator_Rotation,Vehicle_Location,Vehicle_Rotation,Vehicle_Velocity,Vehicle_Control
2095,83.64262341335416,135,"(60.5297966003418,105.4354248046875,15.255452156066895)","(-44.99999237060547,-179.99993896484375,0.0)","(50.52985382080078,105.43539428710938,0.25490185618400574)","(0.022730868309736252,-179.9998779296875,-0.0703430026769638)","Vector3D(x=-0.000207, y=-0.003188, z=-0.010806)","('throttle':(0.0,),'brake':(0.33966922760009766,),'steering':(-9.360060744256771e-07,),'hand_brake':False,'gear':0)"
2096,83.69262341409922,135,"(60.52985382080078,105.43541717529297,15.254901885986328)","(-44.99999237060547,-179.99993896484375,0.0)","(50.5298957824707,105.43537902832031,0.2545235753059387)","(0.016262680292129517,-179.99986267089844,-0.0532226525247097)","Vector3D(x=-0.000148, y=-0.002410, z=-0.007433)","('throttle':(0.0,),'brake':(0.2519274353981018,),'steering':(-6.94549783020193e-07,),'hand_brake':False,'gear':0)"
2097,83.74262341484427,135,"(60.5298957824707,105.43539428710938,15.254522323608398)","(-44.99999237060547,-179.99993896484375,0.0)","(50.529930114746094,105.43537139892578,0.2542664706707001)","(0.01162498164921999,-179.99986267089844,-0.0402831993997097)","Vector3D(x=-0.000106, y=-0.001823, z=-0.005065)","('throttle':(0.0,),'brake':(0.18745337426662445,),'steering':(-3.554561089913477e-07,),'hand_brake':False,'gear':0)"
2098,83.79262341558933,135,"(60.529930114746094,105.43538665771484,15.254265785217285)","(-44.99999237060547,-179.99993896484375,0.0)","(50.52995681762695,105.43535614013672,0.2540934383869171)","(0.008312339894473553,-179.99986267089844,-0.03048705868422985)","Vector3D(x=-0.000076, y=-0.001379, z=-0.003431)","('throttle':(0.0,),'brake':(0.14499999582767487,),'steering':(-1.631854900097096e-07,),'hand_brake':False,'gear':0)"
2099,83.84262341633439,135,"(60.52995300292969,105.43537902832031,15.2540922164917)","(-44.99999237060547,-179.99993896484375,0.0)","(50.52996826171875,105.43535614013672,0.25397777557373047)","(0.0059422641061246395,-179.99986267089844,-0.02307128719985485)","Vector3D(x=-0.000054, y=-0.001043, z=-0.002308)","('throttle':(0.0,),'brake':(0.14499999582767487,),'steering':(-1.1874529803890255e-07,),'hand_brake':False,'gear':0)"
2100,83.89262341707945,135,"(60.52996826171875,105.43537902832031,15.25397777557373)","(-44.99999237060547,-179.99993896484375,0.0)","(50.52997970581055,105.43534851074219,0.25390109419822693)","(0.004241547081619501,-179.99981689453125,-0.01745605282485485)","Vector3D(x=-0.000039, y=-0.000789, z=-0.001549)","('throttle':(0.0,),'brake':(0.14499999582767487,),'steering':(-9.039987247660974e-08,),'hand_brake':False,'gear':0)"
2101,83.9426234178245,135,"(60.52997970581055,105.43537902832031,15.253901481628418)","(-44.99998092651367,-179.9998016357422,0.0)","(50.52997970581055,105.43534851074219,0.25390109419822693)","(0.004241547081619501,-179.99981689453125,-0.01745605282485485)","Vector3D(x=0.000000, y=0.000000, z=0.000000)","('throttle':(0.0,),'brake':(0.14499999582767487,),'steering':(-7.870707463553117e-08,),'hand_brake':False,'gear':0)"
2102,83.99262341856956,135,"(60.52997970581055,105.43537902832031,15.253901481628418)","(-44.99998092651367,-179.9998016357422,0.0)","(50.52998733520508,105.43535614013672,0.2538463771343231)","(0.002807207638397813,-179.99981689453125,-0.011657713912427425)","Vector3D(x=-0.000014, y=-0.000038, z=-0.000406)","('throttle':(0.15700000524520874,),'brake':(0.0,),'steering':(-1.0077674517106061e-07,),'hand_brake':False,'gear':0)"
2103,84.04262341931462,135,"(60.52998352050781,105.43538665771484,15.253846168518066)","(-44.99998092651367,-179.9998016357422,0.0)","(50.52999496459961,105.43537139892578,0.25382906198501587)","(0.0022403020411729813,-179.99981689453125,-0.00909423828125)","Vector3D(x=-0.000015, y=-0.000032, z=-0.000452)","('throttle':(0.0,),'brake':(0.14499999582767487,),'steering':(-4.44041887703861e-08,),'hand_brake':False,'gear':0)"
2104,84.09262342005968,135,"(60.52999496459961,105.43539428710938,15.253829002380371)","(-44.99998092651367,-179.9998016357422,0.0)","(50.529998779296875,105.43538665771484,0.2538122832775116)","(0.0017143774311989546,-179.99981689453125,-0.006988524924963713)","Vector3D(x=-0.000013, y=-0.000025, z=-0.000405)","('throttle':(0.0,),'brake':(0.14499999582767487,),'steering':(6.1037397358632e-08,),'hand_brake':False,'gear':0)"
