Frame,Timestamp,VehicleID,Spectator_Location,Spectator_Rotation,Vehicle_Location,Vehicle_Rotation,Vehicle_Velocity,Vehicle_Control
1442,70.39148501493037,135,"(45.05504608154297,227.47998046875,15.253758430480957)","(-44.99998092651367,-89.99909973144531,0.0)","(45.05885314941406,217.47720336914062,0.23412734270095825)","(0.4976270794868469,-90.010009765625,-1.4489744901657104)","Vector3D(x=-0.252053, y=0.011703, z=1.141124)","('throttle':(0.0,),'brake':(0.14499999582767487,),'steering':(4.5757290565299966e-18,),'hand_brake':False,'gear':0)"
1443,70.44148501567543,135,"(45.06060028076172,227.47720336914062,15.234127044677734)","(-44.9999885559082,-90.00999450683594,0.0)","(45.05388641357422,217.47628784179688,0.2668008506298065)","(0.6622482538223267,-90.0178451538086,-1.6379395723342896)","Vector3D(x=-0.048164, y=0.001361, z=0.439713)","('throttle':(0.0,),'brake':(0.15570969879627228,),'steering':(-2.9157252356526442e-05,),'hand_brake':False,'gear':0)"
1444,70.49148501642048,135,"(45.0569953918457,227.47628784179688,15.266799926757812)","(-44.9999885559082,-90.01781463623047,0.0)","(45.05315399169922,217.47653198242188,0.277984082698822)","(0.6189175844192505,-90.01467895507812,-1.4077147245407104)","Vector3D(x=0.041608, y=-0.002484, z=0.103040)","('throttle':(0.0,),'brake':(0.14499999582767487,),'steering':(1.920286740642041e-05,),'hand_brake':False,'gear':0)"
1445,70.54148501716554,135,"(45.05571746826172,227.4765167236328,15.277982711791992)","(-44.9999885559082,-90.0146713256836,-2.4148362172127236e-06)","(45.05342102050781,217.47711181640625,0.27907508611679077)","(0.5121275782585144,-90.00953674316406,-1.114288330078125)","Vector3D(x=0.047122, y=-0.003331, z=-0.043921)","('throttle':(0.0,),'brake':(0.2342107892036438,),'steering':(3.136433952022344e-05,),'hand_brake':False,'gear':0)"
1446,70.5914850179106,135,"(45.05508041381836,227.47711181640625,15.279074668884277)","(-44.9999885559082,-90.009521484375,0.0)","(45.05372619628906,217.4777069091797,0.2760009467601776)","(0.3997914493083954,-90.00568389892578,-0.8566895723342896)","Vector3D(x=0.039299, y=-0.003075, z=-0.095925)","('throttle':(0.0,),'brake':(0.32913532853126526,),'steering':(-3.6753315271198517e-06,),'hand_brake':False,'gear':0)"
1447,70.64148501865566,135,"(45.05471420288086,227.4777069091797,15.2760009765625)","(-45.000003814697266,-90.00566864013672,-2.414836444586399e-06)","(45.05397033691406,217.478271484375,0.2716953456401825)","(0.30212655663490295,-90.00320434570312,-0.6518859267234802)","Vector3D(x=0.030443, y=-0.002509, z=-0.103262)","('throttle':(0.0,),'brake':(0.2530960738658905,),'steering':(-5.225046152190771e-06,),'hand_brake':False,'gear':0)"
1448,70.69148501940072,135,"(45.05453109741211,227.478271484375,15.271695137023926)","(-44.9999885559082,-90.0031967163086,0.0)","(45.05415344238281,217.47872924804688,0.2674962282180786)","(0.223866268992424,-90.00170135498047,-0.49426260590553284)","Vector3D(x=0.023057, y=-0.001934, z=-0.091914)","('throttle':(0.0,),'brake':(0.24309703707695007,),'steering':(-3.0537639759131707e-06,),'hand_brake':False,'gear':0)"
1449,70.74148502014577,135,"(45.05445098876953,227.47872924804688,15.267496109008789)","(-44.9999885559082,-90.00170135498047,2.4148362172127236e-06)","(45.054290771484375,217.47906494140625,0.2639211118221283)","(0.16382208466529846,-90.00092315673828,-0.3742675185203552)","Vector3D(x=0.017354, y=-0.001447, z=-0.074738)","('throttle':(0.0,),'brake':(0.27212440967559814,),'steering':(-3.0478845474135596e-06,),'hand_brake':False,'gear':0)"
1450,70.79148502089083,135,"(45.05445098876953,227.47906494140625,15.263920783996582)","(-44.9999885559082,-90.00090789794922,2.4148362172127236e-06)","(45.05438995361328,217.47927856445312,0.26108986139297485)","(0.11891358345746994,-90.00042724609375,-0.28326416015625)","Vector3D(x=0.013051, y=-0.001063, z=-0.057621)","('throttle':(0.0,),'brake':(0.3056231141090393,),'steering':(-2.029883944487665e-06,),'hand_brake':False,'gear':0)"
1451,70.84148502163589,135,"(45.054466247558594,227.47927856445312,15.261089324951172)","(-44.9999885559082,-90.00041961669922,2.4148362172127236e-06)","(45.05445861816406,217.47946166992188,0.2589467465877533)","(0.08585547655820847,-90.00013732910156,-0.21438594162464142)","Vector3D(x=0.009824, y=-0.000773, z=-0.042889)","('throttle':(0.0,),'brake':(0.3397263288497925,),'steering':(-1.0926153208856704e-06,),'hand_brake':False,'gear':0)"
1452,70.89148502238095,135,"(45.054481506347656,227.4794464111328,15.258946418762207)","(-44.9999885559082,-90.00010681152344,0.0)","(45.05450439453125,217.47964477539062,0.25737449526786804)","(0.06175856664776802,-90.00003051757812,-0.162261962890625)","Vector3D(x=0.007404, y=-0.000559, z=-0.031136)","('throttle':(0.0,),'brake':(0.3698778748512268,),'steering':(-4.2811478806470404e-07,),'hand_brake':False,'gear':0)"
1453,70.941485023126,135,"(45.05450439453125,227.47964477539062,15.257373809814453)","(-44.9999885559082,-89.99999237060547,-2.4148362172127236e-06)","(45.05454635620117,217.47976684570312,0.25624725222587585)","(0.04432109370827675,-89.99993896484375,-0.1228027269244194)","Vector3D(x=0.005587, y=-0.000402, z=-0.022181)","('throttle':(0.0,),'brake':(0.38600197434425354,),'steering':(-8.44580142711493e-07,),'hand_brake':False,'gear':0)"
1454,70.99148502387106,135,"(45.054534912109375,227.47976684570312,15.256247520446777)","(-44.9999885559082,-89.99999237060547,-2.4148362172127236e-06)","(45.05457305908203,217.4798583984375,0.2554531693458557)","(0.03176720812916756,-89.99987030029297,-0.0929260179400444)","Vector3D(x=0.004219, y=-0.000288, z=-0.015577)","('throttle':(0.0,),'brake':(0.4004734456539154,),'steering':(-5.215560463511792e-07,),'hand_brake':False,'gear':0)"
1455,71.04148502461612,135,"(45.05455017089844,227.4798583984375,15.255452156066895)","(-45.000003814697266,-89.9998779296875,2.414836444586399e-06)","(45.05459976196289,217.47991943359375,0.2549019157886505)","(0.022730868309736252,-89.99988555908203,-0.070343017578125)","Vector3D(x=0.003189, y=-0.000207, z=-0.010808)","('throttle':(0.0,),'brake':(0.34055379033088684,),'steering':(-2.245519254984174e-07,),'hand_brake':False,'gear':0)"
1456,71.09148502536118,135,"(45.05458068847656,227.47991943359375,15.254901885986328)","(-45.000003814697266,-89.9998779296875,2.414836444586399e-06)","(45.05461502075195,217.47994995117188,0.2545235753059387)","(0.016262680292129517,-89.99983978271484,-0.05322265625)","Vector3D(x=0.002410, y=-0.000148, z=-0.007431)","('throttle':(0.0,),'brake':(0.25219905376434326,),'steering':(-1.7853888323315914e-07,),'hand_brake':False,'gear':0)"
1457,71.14148502610624,135,"(45.054588317871094,227.4799346923828,15.254522323608398)","(-45.000003814697266,-89.9998779296875,2.414836444586399e-06)","(45.05462646484375,217.47999572753906,0.25426650047302246)","(0.01162498164921999,-89.99983978271484,-0.0402831956744194)","Vector3D(x=0.001823, y=-0.000106, z=-0.005068)","('throttle':(0.0,),'brake':(0.18747946619987488,),'steering':(-6.668449969993162e-08,),'hand_brake':False,'gear':0)"
1458,71.1914850268513,135,"(45.05459976196289,227.47999572753906,15.254265785217285)","(-45.000003814697266,-89.9998779296875,2.414836444586399e-06)","(45.05463790893555,217.48001098632812,0.25409337878227234)","(0.008312339894473553,-89.99983215332031,-0.03048705868422985)","Vector3D(x=0.001379, y=-0.000076, z=-0.003431)","('throttle':(0.0,),'brake':(0.14499999582767487,),'steering':(-5.4348493705447254e-08,),'hand_brake':False,'gear':0)"
1459,71.24148502759635,135,"(45.05460739135742,227.48001098632812,15.2540922164917)","(-45.000003814697266,-89.9998779296875,2.414836444586399e-06)","(45.05464172363281,217.48004150390625,0.25397780537605286)","(0.005935434252023697,-89.99983978271484,-0.02307128719985485)","Vector3D(x=0.001044, y=-0.000054, z=-0.002307)","('throttle':(0.0,),'brake':(0.14499999582767487,),'steering':(-9.375118281695904e-08,),'hand_brake':False,'gear':0)"
1460,71.29148502834141,135,"(45.05461502075195,227.48004150390625,15.25397777557373)","(-45.000003814697266,-89.9998779296875,2.414836444586399e-06)","(45.05465316772461,217.4800567626953,0.25390100479125977)","(0.004241547081619501,-89.99983978271484,-0.0174560509622097)","Vector3D(x=0.000789, y=-0.000038, z=-0.001547)","('throttle':(0.4534793496131897,),'brake':(0.0,),'steering':(0.0005210047238506377,),'hand_brake':False,'gear':0)"
1461,71.34148502908647,135,"(45.05462646484375,227.4800567626953,15.253899574279785)","(-45.000003814697266,-89.9998779296875,2.414836444586399e-06)","(45.05465316772461,217.4800567626953,0.25390100479125977)","(0.004241547081619501,-89.99983978271484,-0.0174560509622097)","Vector3D(x=0.000000, y=0.000000, z=0.000000)","('throttle':(0.7290548086166382,),'brake':(0.0,),'steering':(0.001512523042038083,),'hand_brake':False,'gear':0)"
1462,71.39148502983153,135,"(45.05462646484375,227.4800567626953,15.253899574279785)","(-45.000003814697266,-89.9998779296875,2.414836444586399e-06)","(45.05464172363281,217.4800567626953,0.2538463771343231)","(0.002807207638397813,-89.99983978271484,-0.01165771298110485)","Vector3D(x=0.000038, y=-0.000014, z=-0.000406)","('throttle':(0.4646119177341461,),'brake':(0.0,),'steering':(0.001937347580678761,),'hand_brake':False,'gear':0)"
1463,71.44148503057659,135,"(45.05461502075195,227.4800567626953,15.253846168518066)","(-45.000003814697266,-89.9998779296875,2.414836444586399e-06)","(45.054622650146484,217.4800567626953,0.25382915139198303)","(0.0022403020411729813,-89.99983978271484,-0.009094237349927425)","Vector3D(x=0.000032, y=-0.000015, z=-0.000452)","('throttle':(0.7375044822692871,),'brake':(0.0,),'steering':(0.0016177595825865865,),'hand_brake':False,'gear':0)"
1464,71.49148503132164,135,"(45.05459213256836,227.4800567626953,15.253829002380371)","(-45.000003814697266,-89.9998779296875,2.414836444586399e-06)","(45.05460739135742,217.48007202148438,0.25381237268447876)","(0.0017143774311989546,-89.99983978271484,-0.006988524459302425)","Vector3D(x=0.000025, y=-0.000013, z=-0.000405)","('throttle':(0.46406054496765137,),'brake':(0.0,),'steering':(0.0014405663823708892,),'hand_brake':False,'gear':0)"
1465,71.5414850320667,135,"(45.05458068847656,227.48007202148438,15.253811836242676)","(-45.000003814697266,-89.9998779296875,2.414836444586399e-06)","(45.05459976196289,217.48007202148438,0.25379806756973267)","(0.0012772453483194113,-89.99983978271484,-0.005340575240552425)","Vector3D(x=0.000019, y=-0.000010, z=-0.000331)","('throttle':(0.7387005686759949,),'brake':(0.0,),'steering':(0.001290332293137908,),'hand_brake':False,'gear':0)"
1466,71.59148503281176,135,"(45.05457305908203,227.48007202148438,15.253798484802246)","(-45.000003814697266,-89.9998779296875,2.414836444586399e-06)","(45.054588317871094,217.48007202148438,0.25378674268722534)","(0.0009357358794659376,-89.99983978271484,-0.004058836959302425)","Vector3D(x=0.000015, y=-0.000008, z=-0.000258)","('throttle':(0.4622107744216919,),'brake':(0.0,),'steering':(0.0005494490033015609,),'hand_brake':False,'gear':0)"
1467,71.64148503355682,135,"(45.05455780029297,227.48007202148438,15.253786087036133)","(-45.000003814697266,-89.9998779296875,2.414836444586399e-06)","(45.05458450317383,217.48007202148438,0.2537781894207001)","(0.0006830188794992864,-89.99983978271484,-0.0030822749249637127)","Vector3D(x=0.000011, y=-0.000006, z=-0.000193)","('throttle':(0.9243136048316956,),'brake':(0.0,),'steering':(-7.046318205539137e-05,),'hand_brake':False,'gear':0)"
