Frame,Timestamp,ActorID,ActorType,DeltaAcceleration(m/s),ChangePos,MayRapidAcceleration/MayRapiDeceleration
1767,82.78906521108001,135,vehicle.lincoln.mkz_2017,23.373808716186478,"Transform(Location(x=104.382812, y=241.198837, z=0.234127), Rotation(pitch=0.497627, yaw=-0.010010, roll=-1.448974))",MayRapidAcceleration
1768,82.83906521182507,135,vehicle.lincoln.mkz_2017,-8.76336549675878,"Transform(Location(x=104.383728, y=241.193863, z=0.266801), Rotation(pitch=0.662235, yaw=-0.017853, roll=-1.637909))",MayRapiDeceleration
1769,82.88906521257013,135,vehicle.lincoln.mkz_2017,-7.641403161744766,"Transform(Location(x=104.383507, y=241.193115, z=0.277984), Rotation(pitch=0.618911, yaw=-0.014679, roll=-1.407715))",MayRapiDeceleration
1800,84.43906523566693,135,vehicle.lincoln.mkz_2017,6.2715663671856845,"Transform(Location(x=104.387115, y=241.194489, z=0.253626), Rotation(pitch=0.015532, yaw=-0.000153, roll=-0.000397))",MayRapidAcceleration
2025,95.689065403305,135,vehicle.lincoln.mkz_2017,10.22663626663528,"Transform(Location(x=115.350899, y=241.224335, z=0.254021), Rotation(pitch=-0.030306, yaw=0.196564, roll=-0.000061))",MayRapidAcceleration
2026,95.73906540405005,135,vehicle.lincoln.mkz_2017,-9.434349408739832,"Transform(Location(x=115.353867, y=241.224335, z=0.254099), Rotation(pitch=-0.039308, yaw=0.196472, roll=-0.000092))",MayRapiDeceleration
2065,97.68906543310732,135,vehicle.lincoln.mkz_2017,11.013509851097561,"Transform(Location(x=116.080338, y=241.341125, z=0.254062), Rotation(pitch=-0.035032, yaw=3.970027, roll=0.021366))",MayRapidAcceleration
2066,97.73906543385237,135,vehicle.lincoln.mkz_2017,-10.019374649068093,"Transform(Location(x=116.083252, y=241.341599, z=0.254137), Rotation(pitch=-0.043672, yaw=3.980294, roll=0.020626))",MayRapiDeceleration
2089,98.88906545098871,135,vehicle.lincoln.mkz_2017,7.669701640367711,"Transform(Location(x=116.393822, y=241.395660, z=0.253953), Rotation(pitch=-0.022492, yaw=5.186258, roll=0.009938))",MayRapidAcceleration
2090,98.93906545173377,135,vehicle.lincoln.mkz_2017,-7.064460978123544,"Transform(Location(x=116.396706, y=241.396103, z=0.254000), Rotation(pitch=-0.027860, yaw=5.193328, roll=0.009312))",MayRapiDeceleration
2156,102.2390655009076,135,vehicle.lincoln.mkz_2017,8.985795533406993,"Transform(Location(x=117.344147, y=241.537476, z=0.253953), Rotation(pitch=-0.022526, yaw=6.793852, roll=0.002287))",MayRapidAcceleration
2158,102.33906550239772,135,vehicle.lincoln.mkz_2017,-7.300359552336824,"Transform(Location(x=117.347069, y=241.537888, z=0.254005), Rotation(pitch=-0.028502, yaw=6.795628, roll=0.001850))",MayRapiDeceleration
2652,127.0390658704564,135,vehicle.lincoln.mkz_2017,18.36544355546949,"Transform(Location(x=129.432541, y=240.553635, z=0.254583), Rotation(pitch=-0.095001, yaw=-16.580612, roll=-0.012817))",MayRapidAcceleration
2654,127.13906587194651,135,vehicle.lincoln.mkz_2017,-16.4019688734388,"Transform(Location(x=129.442184, y=240.550232, z=0.255460), Rotation(pitch=-0.195951, yaw=-16.661087, roll=-0.061676))",MayRapiDeceleration
2729,130.88906592782587,135,vehicle.lincoln.mkz_2017,18.525089113054236,"Transform(Location(x=133.141464, y=237.813690, z=0.254320), Rotation(pitch=-0.064696, yaw=-42.633377, roll=-0.024597))",MayRapidAcceleration
2730,130.93906592857093,135,vehicle.lincoln.mkz_2017,-16.47463014890948,"Transform(Location(x=133.155472, y=237.797440, z=0.254766), Rotation(pitch=-0.116059, yaw=-42.824574, roll=-0.056702))",MayRapiDeceleration
2911,139.98906606342643,135,vehicle.lincoln.mkz_2017,18.92024524210045,"Transform(Location(x=135.280594, y=224.703842, z=0.254178), Rotation(pitch=-0.048303, yaw=-87.770775, roll=-0.000183))",MayRapidAcceleration
2912,140.0390660641715,135,vehicle.lincoln.mkz_2017,-17.95256080871096,"Transform(Location(x=135.281601, y=224.678452, z=0.254651), Rotation(pitch=-0.102753, yaw=-87.767082, roll=0.000516))",MayRapiDeceleration
3140,151.43906623404473,135,vehicle.lincoln.mkz_2017,8.606575360341632,"Transform(Location(x=135.552872, y=217.702637, z=0.253969), Rotation(pitch=-0.024384, yaw=-87.829552, roll=-0.000092))",MayRapidAcceleration
3141,151.4890662347898,135,vehicle.lincoln.mkz_2017,-9.130379668729573,"Transform(Location(x=135.553070, y=217.696121, z=0.254013), Rotation(pitch=-0.029418, yaw=-87.829521, roll=-0.000092))",MayRapiDeceleration
3171,152.98906625714153,135,vehicle.lincoln.mkz_2017,8.520324108180631,"Transform(Location(x=135.566284, y=217.339279, z=0.253947), Rotation(pitch=-0.021816, yaw=-87.812744, roll=0.000036))",MayRapidAcceleration
3172,153.0390662578866,135,vehicle.lincoln.mkz_2017,-8.093570228115972,"Transform(Location(x=135.566376, y=217.336349, z=0.254006), Rotation(pitch=-0.028625, yaw=-87.812790, roll=0.000018))",MayRapiDeceleration
