Frame,Timestamp,VehicleID,Spectator_Location,Spectator_Rotation,Vehicle_Location,Vehicle_Rotation,Vehicle_Velocity,Vehicle_Control
1850,51.569687391165644,135,"(31.83000373840332,187.87551879882812,15.253758430480957)","(-45.00000762939453,-179.9998016357422,9.211870849457071e-12)","(21.827190399169922,187.87115478515625,0.2341274619102478)","(0.4976270794868469,179.989990234375,-1.4489744901657104)","Vector3D(x=0.011703, y=0.252054, z=1.141130)","('throttle':(0.0,),'brake':(0.14499999582767487,),'steering':(-4.424323157979209e-18,),'hand_brake':False,'gear':0)"
1851,51.6196873919107,135,"(31.82718849182129,187.86941528320312,15.234127044677734)","(-44.99999237060547,179.989990234375,0.0)","(21.826271057128906,187.87612915039062,0.2668008506298065)","(0.6622482538223267,179.98214721679688,-1.637939453125)","Vector3D(x=0.001360, y=0.048164, z=0.439713)","('throttle':(0.0,),'brake':(0.1556588113307953,),'steering':(4.2589772419887595e-06,),'hand_brake':False,'gear':0)"
1852,51.66968739265576,135,"(31.826271057128906,187.8730010986328,15.266799926757812)","(-44.99998092651367,179.98214721679688,0.0)","(21.826513290405273,187.8768768310547,0.2779841125011444)","(0.6189107298851013,179.9853057861328,-1.4077144861221313)","Vector3D(x=-0.002483, y=-0.041607, z=0.103044)","('throttle':(0.0,),'brake':(0.14499999582767487,),'steering':(8.190475637093186e-05,),'hand_brake':False,'gear':0)"
1853,51.71968739340082,135,"(31.826513290405273,187.8743133544922,15.277982711791992)","(-44.99998092651367,179.9853057861328,0.0)","(21.82710838317871,187.87660217285156,0.2790752649307251)","(0.5121275782585144,179.9904327392578,-1.114288330078125)","Vector3D(x=-0.003329, y=-0.047120, z=-0.043918)","('throttle':(0.0,),'brake':(0.23418499529361725,),'steering':(0.00013592954201158136,),'hand_brake':False,'gear':0)"
1854,51.769687394145876,135,"(31.82710838317871,187.87493896484375,15.279075622558594)","(-44.99998092651367,179.9904327392578,0.0)","(21.827735900878906,187.8762664794922,0.27600112557411194)","(0.39979827404022217,179.9943084716797,-0.8566895127296448)","Vector3D(x=-0.003074, y=-0.039298, z=-0.095924)","('throttle':(0.0,),'brake':(0.3291424810886383,),'steering':(5.810815855511464e-05,),'hand_brake':False,'gear':0)"
1855,51.819687394890934,135,"(31.827735900878906,187.87527465820312,15.2760009765625)","(-44.99999237060547,179.99427795410156,0.0)","(21.828285217285156,187.8760528564453,0.27169543504714966)","(0.3021334111690521,179.99676513671875,-0.6518859267234802)","Vector3D(x=-0.002509, y=-0.030443, z=-0.103260)","('throttle':(0.0,),'brake':(0.253099262714386,),'steering':(-5.546626198338345e-06,),'hand_brake':False,'gear':0)"
1856,51.86968739563599,135,"(31.828285217285156,187.87548828125,15.271695137023926)","(-44.99997329711914,179.99676513671875,0.0)","(21.82872772216797,187.87586975097656,0.26749610900878906)","(0.22387993335723877,179.99826049804688,-0.49426254630088806)","Vector3D(x=-0.001934, y=-0.023057, z=-0.091916)","('throttle':(0.0,),'brake':(0.24306565523147583,),'steering':(-6.085816949052969e-06,),'hand_brake':False,'gear':0)"
1857,51.91968739638105,135,"(31.82872772216797,187.8755645751953,15.267496109008789)","(-44.99998092651367,179.99826049804688,0.0)","(21.829065322875977,187.875732421875,0.2639210820198059)","(0.16382890939712524,179.9990997314453,-0.3742675483226776)","Vector3D(x=-0.001447, y=-0.017354, z=-0.074736)","('throttle':(0.0,),'brake':(0.27215299010276794,),'steering':(-1.0057011650133063e-06,),'hand_brake':False,'gear':0)"
1858,51.96968739712611,135,"(31.829063415527344,187.87557983398438,15.263920783996582)","(-44.99998092651367,179.9990997314453,-3.684747645893438e-11)","(21.82931900024414,187.8756561279297,0.2610898017883301)","(0.11891358345746994,179.9995574951172,-0.28326407074928284)","Vector3D(x=-0.001063, y=-0.013051, z=-0.057619)","('throttle':(0.0,),'brake':(0.3056485652923584,),'steering':(-5.91994989918021e-07,),'hand_brake':False,'gear':0)"
1859,52.01968739787117,135,"(31.82931900024414,187.87557983398438,15.261088371276855)","(-44.99999237060547,179.99952697753906,0.0)","(21.829504013061523,187.87557983398438,0.25894686579704285)","(0.08585547655820847,179.9998016357422,-0.21438592672348022)","Vector3D(x=-0.000773, y=-0.009824, z=-0.042886)","('throttle':(0.0,),'brake':(0.3397316634654999,),'steering':(-3.0028286346350797e-07,),'hand_brake':False,'gear':0)"
1860,52.069687398616225,135,"(31.829504013061523,187.87554931640625,15.258946418762207)","(-45.00000762939453,179.9998016357422,0.0)","(21.829641342163086,187.87554931640625,0.2573746144771576)","(0.06175856664776802,179.9999542236328,-0.1622619330883026)","Vector3D(x=-0.000559, y=-0.007404, z=-0.031135)","('throttle':(0.0,),'brake':(0.36989349126815796,),'steering':(-1.7454306089348393e-07,),'hand_brake':False,'gear':0)"
1861,52.11968739936128,135,"(31.829641342163086,187.87551879882812,15.257373809814453)","(-44.99998092651367,179.9999542236328,-2.3029672786833988e-12)","(21.82973861694336,187.87550354003906,0.25624722242355347)","(0.04432109370827675,-179.99993896484375,-0.1228027269244194)","Vector3D(x=-0.000402, y=-0.005587, z=-0.022184)","('throttle':(0.0,),'brake':(0.38601499795913696,),'steering':(-2.081388572605647e-07,),'hand_brake':False,'gear':0)"
1862,52.16968740010634,135,"(31.82973861694336,187.87551879882812,15.256247520446777)","(-44.99999237060547,-179.99993896484375,0.0)","(21.829811096191406,187.87548828125,0.2554531395435333)","(0.03176720812916756,-179.99989318847656,-0.0929260104894638)","Vector3D(x=-0.000288, y=-0.004219, z=-0.015576)","('throttle':(0.0,),'brake':(0.40049219131469727,),'steering':(-1.269991258823211e-07,),'hand_brake':False,'gear':0)"
1863,52.2196874008514,135,"(31.829811096191406,187.87550354003906,15.255452156066895)","(-44.99999237060547,-179.99993896484375,0.0)","(21.829862594604492,187.8754425048828,0.25490185618400574)","(0.022730868309736252,-179.9998779296875,-0.0703430026769638)","Vector3D(x=-0.000207, y=-0.003188, z=-0.010807)","('throttle':(0.0,),'brake':(0.3409094512462616,),'steering':(-3.943294046848678e-08,),'hand_brake':False,'gear':0)"
