Frame,Timestamp,VehicleID,Spectator_Location,Spectator_Rotation,Vehicle_Location,Vehicle_Rotation,Vehicle_Velocity,Vehicle_Control
1743,64.65394624508917,135,"(158.40980529785156,191.89447021484375,15.253758430480957)","(-44.99999237060547,-0.0006713865441270173,0.0)","(168.4127960205078,191.8988494873047,0.2341272234916687)","(0.49762022495269775,-0.010009765625,-1.448944091796875)","Vector3D(x=-0.011703, y=-0.252049, z=1.141124)","('throttle':(0.0,),'brake':(0.14499999582767487,),'steering':(-7.334025244680703e-16,),'hand_brake':False,'gear':0)"
1745,64.75394624657929,135,"(158.41371154785156,191.89697265625,15.266799926757812)","(-44.99999237060547,-0.01785278134047985,-5.895596233429501e-10)","(168.4134521484375,191.89312744140625,0.27798378467559814)","(0.6188902258872986,-0.01467895321547985,-1.407684087753296)","Vector3D(x=0.002486, y=0.041610, z=0.103043)","('throttle':(0.0,),'brake':(0.14499999582767487,),'steering':(-0.0001406222436344251,),'hand_brake':False,'gear':0)"
1746,64.80394624732435,135,"(158.4134521484375,191.8956756591797,15.277982711791992)","(-44.99999237060547,-0.01467895321547985,0.0)","(168.4128875732422,191.8933868408203,0.2790749967098236)","(0.5121138691902161,-0.009552001021802425,-1.1142578125)","Vector3D(x=0.003331, y=0.047121, z=-0.043917)","('throttle':(0.0,),'brake':(0.2342042624950409,),'steering':(3.657647903310135e-05,),'hand_brake':False,'gear':0)"
1747,64.8539462480694,135,"(158.4128875732422,191.89505004882812,15.279074668884277)","(-44.99999237060547,-0.009552001021802425,2.9477981167147504e-10)","(168.4122772216797,191.8937225341797,0.27600085735321045)","(0.39977094531059265,-0.005676268134266138,-0.8566589951515198)","Vector3D(x=0.003074, y=0.039298, z=-0.095923)","('throttle':(0.0,),'brake':(0.3291425406932831,),'steering':(2.887443042709492e-05,),'hand_brake':False,'gear':0)"
1748,64.90394624881446,135,"(158.4122772216797,191.8946990966797,15.2760009765625)","(-44.99999237060547,-0.005676268134266138,2.9477981167147504e-10)","(168.41171264648438,191.89393615722656,0.2716953158378601)","(0.30211973190307617,-0.0032043459359556437,-0.651885986328125)","Vector3D(x=0.002509, y=0.030443, z=-0.103259)","('throttle':(0.0,),'brake':(0.2531396150588989,),'steering':(4.174155947112013e-06,),'hand_brake':False,'gear':0)"
1749,64.95394624955952,135,"(158.41171264648438,191.8944854736328,15.271695137023926)","(-44.99999237060547,-0.003204345004633069,-1.4738990583573752e-10)","(168.41127014160156,191.8941192626953,0.2674959897994995)","(0.223866268992424,-0.0017395017202943563,-0.49423202872276306)","Vector3D(x=0.001934, y=0.023056, z=-0.091916)","('throttle':(0.0,),'brake':(0.2431054413318634,),'steering':(-7.064573765092064e-06,),'hand_brake':False,'gear':0)"
1750,65.00394625030458,135,"(158.41127014160156,191.89442443847656,15.267496109008789)","(-44.99999237060547,-0.0017395016038790345,-7.369495291786876e-11)","(168.4109344482422,191.89425659179688,0.26392099261283875)","(0.16382208466529846,-0.0008850098238326609,-0.3742370307445526)","Vector3D(x=0.001447, y=0.017353, z=-0.074735)","('throttle':(0.0,),'brake':(0.2721545994281769,),'steering':(-5.250165941106388e-06,),'hand_brake':False,'gear':0)"
1751,65.05394625104964,135,"(158.4109344482422,191.8944091796875,15.263920783996582)","(-44.99999237060547,-0.0008850095910020173,-3.684747645893438e-11)","(168.4107208251953,191.8943328857422,0.2610897123813629)","(0.11890675872564316,-0.0004272460355423391,-0.2832641303539276)","Vector3D(x=0.001063, y=0.013050, z=-0.057617)","('throttle':(0.0,),'brake':(0.30562877655029297,),'steering':(-1.2705525023193331e-06,),'hand_brake':False,'gear':0)"
1752,65.1039462517947,135,"(158.4107208251953,191.8944091796875,15.261088371276855)","(-44.99999237060547,-0.0004272459773346782,0.0)","(168.4105224609375,191.8944091796875,0.25894683599472046)","(0.08585547655820847,-0.00015258787607308477,-0.2143859565258026)","Vector3D(x=0.000773, y=0.009824, z=-0.042886)","('throttle':(0.0,),'brake':(0.3397229015827179,),'steering':(-1.588269242347451e-06,),'hand_brake':False,'gear':0)"
1753,65.15394625253975,135,"(158.4105224609375,191.89442443847656,15.258946418762207)","(-44.99999237060547,-0.00015258784696925431,0.0)","(168.4103546142578,191.8944549560547,0.25737452507019043)","(0.06174490600824356,-3.0517578125e-05,-0.162261962890625)","Vector3D(x=0.000558, y=0.007404, z=-0.031134)","('throttle':(0.0,),'brake':(0.36988386511802673,),'steering':(-1.2370933291094843e-06,),'hand_brake':False,'gear':0)"
1754,65.20394625328481,135,"(158.4103546142578,191.8944549560547,15.257373809814453)","(-44.99999237060547,-3.0517569030052982e-05,0.0)","(168.4102325439453,191.8944854736328,0.25624725222587585)","(0.04432109370827675,5.325954407453537e-05,-0.1228027269244194)","Vector3D(x=0.000402, y=0.005587, z=-0.022185)","('throttle':(0.0,),'brake':(0.38600805401802063,),'steering':(-8.923394716475741e-07,),'hand_brake':False,'gear':0)"
1755,65.25394625402987,135,"(158.4102325439453,191.89447021484375,15.256247520446777)","(-44.99999237060547,-3.0517569030052982e-05,0.0)","(168.41012573242188,191.89450073242188,0.2554531693458557)","(0.03176720812916756,9.562892955727875e-05,-0.0929260104894638)","Vector3D(x=0.000288, y=0.004219, z=-0.015577)","('throttle':(0.0,),'brake':(0.4004663825035095,),'steering':(-4.1628692315498483e-07,),'hand_brake':False,'gear':0)"
1756,65.30394625477493,135,"(158.41012573242188,191.8944854736328,15.255452156066895)","(-44.99999237060547,9.562889317749068e-05,0.0)","(168.4100799560547,191.89454650878906,0.2549018859863281)","(0.022730868309736252,0.00011865847045555711,-0.070343017578125)","Vector3D(x=0.000207, y=0.003188, z=-0.010806)","('throttle':(0.0,),'brake':(0.34048715233802795,),'steering':(-2.395192950643832e-07,),'hand_brake':False,'gear':0)"
1757,65.35394625551999,135,"(158.4100799560547,191.89453125,15.254901885986328)","(-44.99999237060547,9.562889317749068e-05,0.0)","(168.4100341796875,191.89454650878906,0.2545236051082611)","(0.016262680292129517,0.0001311631203861907,-0.0532226525247097)","Vector3D(x=0.000148, y=0.002410, z=-0.007432)","('throttle':(0.0,),'brake':(0.2524224817752838,),'steering':(-2.186262975101272e-07,),'hand_brake':False,'gear':0)"
1758,65.40394625626504,135,"(158.4100341796875,191.89450073242188,15.254522323608398)","(-44.99999237060547,9.562889317749068e-05,0.0)","(168.41000366210938,191.89454650878906,0.25426650047302246)","(0.01162498164921999,0.0001379499153699726,-0.0402831993997097)","Vector3D(x=0.000106, y=0.001823, z=-0.005065)","('throttle':(0.0,),'brake':(0.1874348372220993,),'steering':(-8.337006818237569e-08,),'hand_brake':False,'gear':0)"
1759,65.4539462570101,135,"(158.41000366210938,191.89450073242188,15.254265785217285)","(-44.99999237060547,9.562889317749068e-05,0.0)","(168.40997314453125,191.89459228515625,0.2540934681892395)","(0.008312339894473553,0.00014163443120196462,-0.03048705868422985)","Vector3D(x=0.000076, y=0.001379, z=-0.003431)","('throttle':(0.0,),'brake':(0.14499999582767487,),'steering':(-7.228042608886653e-09,),'hand_brake':False,'gear':0)"
1760,65.50394625775516,135,"(158.40997314453125,191.89456176757812,15.2540922164917)","(-44.99999237060547,9.562889317749068e-05,0.0)","(168.4099578857422,191.89462280273438,0.25397777557373047)","(0.0059422641061246395,0.00014363638183567673,-0.0230712853372097)","Vector3D(x=0.000054, y=0.001043, z=-0.002308)","('throttle':(0.0,),'brake':(0.14499999582767487,),'steering':(-8.594304290454602e-08,),'hand_brake':False,'gear':0)"
1761,65.55394625850022,135,"(158.4099578857422,191.89459228515625,15.25397777557373)","(-44.99999237060547,9.562889317749068e-05,0.0)","(168.40994262695312,191.8946075439453,0.25390109419822693)","(0.004241547081619501,0.00014472608745563775,-0.01745605282485485)","Vector3D(x=0.000039, y=0.000790, z=-0.001548)","('throttle':(0.0,),'brake':(0.14499999582767487,),'steering':(-2.530504730202665e-07,),'hand_brake':False,'gear':0)"
1762,65.60394625924528,135,"(158.40994262695312,191.89456176757812,15.253901481628418)","(-44.99999237060547,9.562889317749068e-05,0.0)","(168.40994262695312,191.8946075439453,0.25390109419822693)","(0.004241547081619501,0.00014472608745563775,-0.01745605282485485)","Vector3D(x=0.000000, y=0.000000, z=0.000000)","('throttle':(0.0,),'brake':(0.14499999582767487,),'steering':(-6.25982323754215e-08,),'hand_brake':False,'gear':0)"
1763,65.65394625999033,135,"(158.40994262695312,191.89456176757812,15.253901481628418)","(-44.99999237060547,9.562889317749068e-05,0.0)","(168.40994262695312,191.89456176757812,0.2538463771343231)","(0.002807207638397813,0.0001452284777769819,-0.011657713912427425)","Vector3D(x=0.000014, y=0.000038, z=-0.000406)","('throttle':(0.15700000524520874,),'brake':(0.0,),'steering':(4.7567109362489646e-08,),'hand_brake':False,'gear':0)"
1765,65.75394626148045,135,"(158.40994262695312,191.89450073242188,15.253829002380371)","(-44.99999237060547,9.562889317749068e-05,0.0)","(168.409912109375,191.89454650878906,0.253812313079834)","(0.0017143774311989546,0.00014525534061249346,-0.006988524924963713)","Vector3D(x=0.000013, y=0.000025, z=-0.000405)","('throttle':(0.0,),'brake':(0.14499999582767487,),'steering':(1.4105830814514775e-07,),'hand_brake':False,'gear':0)"
1766,65.80394626222551,135,"(158.409912109375,191.89450073242188,15.253811836242676)","(-44.99999237060547,9.562889317749068e-05,0.0)","(168.409912109375,191.89453125,0.2537980079650879)","(0.0012772453483194113,0.00014525809092447162,-0.005340575706213713)","Vector3D(x=0.000010, y=0.000019, z=-0.000330)","('throttle':(0.0,),'brake':(0.14499999582767487,),'steering':(1.7843791511040763e-07,),'hand_brake':False,'gear':0)"
1767,65.85394626297057,135,"(158.409912109375,191.8944854736328,15.25379753112793)","(-44.99999237060547,9.562889317749068e-05,0.0)","(168.409912109375,191.89450073242188,0.25378668308258057)","(0.0009357358794659376,0.000145258178235963,-0.004058837424963713)","Vector3D(x=0.000008, y=0.000015, z=-0.000257)","('throttle':(0.0,),'brake':(0.14499999582767487,),'steering':(1.0217680568302967e-07,),'hand_brake':False,'gear':0)"
1768,65.90394626371562,135,"(158.409912109375,191.89447021484375,15.253786087036133)","(-44.99999237060547,9.562889317749068e-05,0.0)","(168.409912109375,191.89450073242188,0.2537781000137329)","(0.0006830188794992864,0.00014525682490784675,-0.0030822751577943563)","Vector3D(x=0.000006, y=0.000011, z=-0.000191)","('throttle':(0.4674881398677826,),'brake':(0.0,),'steering':(-6.806362216593698e-05,),'hand_brake':False,'gear':0)"
1769,65.95394626446068,135,"(158.409912109375,191.89447021484375,15.253777503967285)","(-44.99999237060547,9.562889317749068e-05,0.0)","(168.409912109375,191.89450073242188,0.2537717819213867)","(0.0004917735932394862,0.00014525350707117468,-0.002349853515625)","Vector3D(x=0.000004, y=0.000009, z=-0.000137)","('throttle':(0.7424843907356262,),'brake':(0.0,),'steering':(-0.0008255440043285489,),'hand_brake':False,'gear':0)"
1770,66.00394626520574,135,"(158.409912109375,191.89447021484375,15.253771781921387)","(-44.99999237060547,9.562889317749068e-05,0.0)","(168.409912109375,191.89450073242188,0.2537672817707062)","(0.00035516981733962893,0.00014525045116897672,-0.0018005369929596782)","Vector3D(x=0.000003, y=0.000006, z=-0.000098)","('throttle':(0.4678593575954437,),'brake':(0.0,),'steering':(-0.0009619513875804842,),'hand_brake':False,'gear':0)"
1771,66.0539462659508,135,"(158.409912109375,191.89447021484375,15.253767013549805)","(-44.99999237060547,9.562889317749068e-05,0.0)","(168.409912109375,191.89450073242188,0.2537659704685211)","(0.0003073585103265941,0.00014525286678690463,-0.0015563963679596782)","Vector3D(x=0.000001, y=0.000005, z=-0.000030)","('throttle':(0.9221522808074951,),'brake':(0.0,),'steering':(-0.0007837871089577675,),'hand_brake':False,'gear':0)"
1772,66.10394626669586,135,"(158.409912109375,191.89447021484375,15.253765106201172)","(-44.99999237060547,9.562889317749068e-05,0.0)","(168.409912109375,191.8944854736328,0.25376462936401367)","(0.0002527169999666512,0.00014525311416946352,-0.0012207030085846782)","Vector3D(x=0.000002, y=0.000004, z=-0.000040)","('throttle':(0.46829408407211304,),'brake':(0.0,),'steering':(-0.0007118025096133351,),'hand_brake':False,'gear':0)"
1773,66.15394626744092,135,"(158.409912109375,191.8944549560547,15.253764152526855)","(-44.99999237060547,9.562889317749068e-05,0.0)","(168.409912109375,191.8944854736328,0.25376319885253906)","(0.00019807547505479306,0.00014525251754093915,-0.0009460448054596782)","Vector3D(x=0.000001, y=0.000003, z=-0.000040)","('throttle':(0.9222540855407715,),'brake':(0.0,),'steering':(-0.0005942278658039868,),'hand_brake':False,'gear':0)"
1774,66.20394626818597,135,"(158.409912109375,191.8944549560547,15.253763198852539)","(-44.99999237060547,9.562889317749068e-05,0.0)","(168.409912109375,191.8944854736328,0.25376173853874207)","(0.000150264153489843,0.00014525184815283865,-0.000732421875)","Vector3D(x=0.000001, y=0.000003, z=-0.000036)","('throttle':(0.7433196902275085,),'brake':(0.0,),'steering':(-0.00047484913375228643,),'hand_brake':False,'gear':0)"
1775,66.25394626893103,135,"(158.409912109375,191.8944549560547,15.25376033782959)","(-44.99999237060547,9.562889317749068e-05,0.0)","(168.409912109375,191.8944854736328,0.25376060605049133)","(0.00010928302071988583,0.00014525116421282291,-0.00054931640625)","Vector3D(x=0.000001, y=0.000002, z=-0.000026)","('throttle':(0.9223635792732239,),'brake':(0.0,),'steering':(-0.0004061741637997329,),'hand_brake':False,'gear':0)"
1776,66.30394626967609,135,"(158.409912109375,191.8944549560547,15.253759384155273)","(-44.99999237060547,9.562889317749068e-05,0.0)","(168.409912109375,191.8944854736328,0.25376060605049133)","(0.00010928302071988583,0.00014525116421282291,-0.00054931640625)","Vector3D(x=0.000001, y=0.000002, z=-0.000021)","('throttle':(0.74333655834198,),'brake':(0.0,),'steering':(-0.0003480980813037604,),'hand_brake':False,'gear':0)"
1777,66.35394627042115,135,"(158.409912109375,191.8944549560547,15.253759384155273)","(-44.99999237060547,9.562889317749068e-05,0.0)","(168.409912109375,191.8944854736328,0.25375914573669434)","(6.147169915493578e-05,0.00014525026199407876,-0.00030517575214616954)","Vector3D(x=0.000001, y=0.000001, z=-0.000016)","('throttle':(0.9225119352340698,),'brake':(0.0,),'steering':(-0.0003381072310730815,),'hand_brake':False,'gear':0)"
1778,66.4039462711662,135,"(158.409912109375,191.8944549560547,15.253759384155273)","(-44.99999237060547,9.562889317749068e-05,0.0)","(168.409912109375,191.8944854736328,0.25375914573669434)","(6.147169915493578e-05,0.00014525026199407876,-0.00030517575214616954)","Vector3D(x=0.000000, y=0.000001, z=-0.000011)","('throttle':(0.4686509072780609,),'brake':(0.0,),'steering':(-0.00023628825147170573,),'hand_brake':False,'gear':0)"
1779,66.45394627191126,135,"(158.409912109375,191.8944549560547,15.253759384155273)","(-44.99999237060547,9.562889317749068e-05,0.0)","(168.40994262695312,191.8944854736328,0.25375911593437195)","(-3.415094397496432e-05,3.1834559194976464e-05,-0.00021362303232308477)","Vector3D(x=0.001778, y=-0.000007, z=-0.000001)","('throttle':(0.922432005405426,),'brake':(0.0,),'steering':(-0.00014274503337219357,),'hand_brake':False,'gear':0)"
1780,66.50394627265632,135,"(158.40994262695312,191.8944854736328,15.253759384155273)","(-44.99999237060547,9.562889317749068e-05,0.0)","(168.42552185058594,191.8944854736328,0.2535099387168884)","(0.02862532064318657,-0.00018310545419808477,-0.00015258784696925431)","Vector3D(x=0.451137, y=-0.000028, z=-0.000004)","('throttle':(0.7345075011253357,),'brake':(0.0,),'steering':(-0.00013793387915939093,),'hand_brake':False,'gear':1)"
1781,66.55394627340138,135,"(158.42550659179688,191.89450073242188,15.253509521484375)","(-44.99999237060547,-0.00018310545419808477,9.211869114733595e-12)","(168.4578094482422,191.8944854736328,0.25323039293289185)","(0.0608091726899147,-0.0003662109375,-9.1552734375e-05)","Vector3D(x=0.758704, y=-0.000066, z=-0.000009)","('throttle':(0.37802064418792725,),'brake':(0.0,),'steering':(-0.00012922305904794484,),'hand_brake':False,'gear':1)"
