Frame,Timestamp,ActorID,ActorType,TrafficLightID,TrafficLightPos,ActorVelocity
7234,266.82594482041895,135,vehicle.lincoln.mkz_2017,48,"Location(x=-0.820000, y=202.519989, z=0.220000)","[0.8193200152781687, 0.7978076936679868, 0.8103661454251921, 0.7468141922903029, 0.8137805979277876, 0.7712343467292615, 0.7766443767001173, 0.7749493204163442, 0.7739565020945084, 0.7326277763697122, 0.7469708470618117, 0.7290680590089077, 0.7478407002250891, 0.7645078763172417, 0.764585820551343, 0.7230503613361523, 0.730237461797535, 0.7468960683088502, 0.737932897209515, 0.7336089206987123, 0.7092536768363471, 0.6826333149196698, 0.6927790464211712, 0.7099073698654498, 0.6863502857992101, 0.0012233123653598863, 0.08908832676138348, 0.06215341067647622, 0.0001678501949775139, 0.00024155118020581935, 0.0002306303948451132, 0.00019241893193605347, 0.0001507215574902538, 0.00011388378742824558, 8.437091189026194e-05, 0.08712471359946032, 0.059043203219557173, 0.08355881715214483, 0.058997950783376205, 0.0928957540664001, 0.11955120108642558, 0.32823873517935537, 0.506085057997689, 0.6048522830387585, 0.6356504894677649, 0.6633024261838282, 0.724862154881551, 0.7714394909679378, 0.7772209264860098, 0.8673550723434207, 0.947369972152712, 1.0270080307947091, 1.0188572070586264, 1.0180443518445872, 0.9997930630192088, 1.0320707775323652, 1.0620283155333092, 1.1217391911315544, 1.1401455771181563, 1.1708158022421453, 0.009437845515737295, 0.29854945918211684, 0.38013017674604344, 0.5158152961127305, 0.5741123405730445, 0.6620024560711183, 0.6575490008314379, 0.6923248246008634, 0.7116754243546596, 0.6681494395647767, 0.7398211198778982, 0.7163222737289692, 0.7284558731345737, 0.7211000349027856, 0.7151236586819942, 0.7489038148464902, 0.6687777646114782, 0.6774849825057749, 0.662231478638663, 0.6376039253381156, 0.6190722460932598, 0.6484717281836482, 0.5935634090286324, 0.612591832080325, 0.5429869963785878, 0.5950004251413163, 0.548167046422603, 0.6103741845775333, 0.5662465363554574, 0.5693037756176036, 0.5256094656774887, 0.5576404789309254, 0.54757088606105, 0.5945527150541029, 0.6295825505954123, 0.665401154994303, 0.7538331408284594, 0.7261638807311437, 0.7520208028902404, 0.7207091302175085, 0.7295085398324708, 0.7466577592686974, 0.7352363005548872, 0.6923357647846468, 0.7067396979995787, 0.6841138146321166, 0.6654097051695752, 0.6718939709869124, 0.6788777918525011, 0.663545686368868, 0.6390662810451128, 0.6502786249305633, 0.6667529648560444, 0.592154758317285, 0.579648920320224, 0.5827671620883824, 0.5705152568937241, 0.580611678382709, 0.5773119810416677, 0.5764569080798627, 0.5160587225618157, 0.5371806186669639, 0.5469662631335236, 0.5393143000338766, 0.5533002491504326, 0.49568991128528206, 0.5425745975837825, 0.5139324056350681, 0.4494349730659365, 0.4183850771817193, 0.4376337689020934, 0.43694900885533144, 0.45299310158779516, 0.4406235417240948, 0.44035776415194916, 0.4655456106279509, 0.4677351980680207, 0.5090704268902863, 0.4780549530365973, 0.4375072144335124, 0.47517275021924177, 0.4888485450458916, 0.4866255508565687, 0.419215627772212, 0.4444211941932347, 0.4537038462696279, 0.4807771163456849, 0.43739812396204514, 0.46053280252995143, 0.44593893820395697, 0.4614821559239622, 0.4409796867639845, 0.41226246939275507, 0.47800565971708703, 0.4525627097357035, 0.47677901576666476, 0.5341930264483661, 0.5774655166739487, 0.0009704310034485288, 0.08822062767448628, 0.06150150212296302, 0.17544833226920198, 0.25966391221688345, 0.3380928218846007, 0.37475283712495944, 0.3795003133686698, 0.4327087826843228, 0.41906097931565295, 0.4655670458499689, 0.0007814906001077567, 0.08751829746812395, 0.060357170474318975, 0.08570908754365977, 0.06231097349679093, 0.0945292007478021, 0.06749760918874502, 0.09510747873528387, 0.08422859407901497, 0.1445883937839724, 0.14722979674477998, 0.17068297099714633, 0.20998537607880088, 0.2563525666168592, 0.22921678508547044, 0.3063880880663817, 0.23748365976583163, 0.30062801180443294, 0.284716090734108, 0.2781564259267353, 0.294148817786248, 0.262165712549946, 0.2910161609509827, 0.28313016123569995, 0.31104340123248664, 0.30413640055275987, 0.31629934355725303, 0.3231456832953648, 0.3921879952474078, 0.0005250021393891068, 0.08556849917811515, 0.05836546548760459, 0.08351846795299213, 0.05840739687860739, 0.08507285815761866, 0.06365119904561312, 0.10811442074615628, 0.07731991450129316, 0.10145854691395809, 0.07342624452940155, 0.10375426890457326, 0.07905535290783358, 0.10423468306272447, 0.11167662828592888, 0.06905811204291878, 0.10387969068297816, 0.0620138024350778, 0.09618078971285882, 0.05614378091668092, 0.08994664790497636, 0.05036086716359228, 0.08419539484504647, 0.04595957400001102, 0.11566365863883066, 0.32991837773986354, 0.3263949744913333, 0.35263742739293524, 0.4002822875355197, 0.43666892230667564, 0.40529263138251737, 0.4499261147976155, 0.493000723294473, 0.5345071318971806, 0.000824823317985027, 0.08780813235289352, 0.06086534864280447, 0.08932824480189144, 0.18448586164892275, 0.2737827246382225, 0.3285288022413504, 0.36476996565239905, 0.3739698106390527, 0.36741363721620257, 0.36770356414217564, 0.3265323026182274, 0.40994754651874177, 0.41408145797531243, 0.39257856213854664, 0.4068445049550955, 0.46675243439134834, 0.4337168728271483, 0.4971980189530572, 0.0007421151061537783, 0.08733130551212746, 0.060251314488008814, 0.08564869529144378, 0.062366236564856924, 0.09087186150815889, 0.07042100665215018, 0.09569643438901299, 0.07568195445165558, 0.10156478214745682, 0.09345124725186897, 0.1207584539746608, 0.08850184156871317, 0.10927038548920243, 0.13784936653203847, 0.12066025374413278, 0.17365079639314415, 0.16298136026623958, 0.13888033646038273, 0.19965844260087073, 0.2622132036752557, 0.26473786499256063, 0.23419468950701222, 0.24121406923476546, 0.23448146660881067, 0.21722682851428363, 0.23112931073345683, 0.24910272810451745, 0.23426141862692082, 0.2474692687954753, 0.2638385306293211, 0.2684158599171494, 0.2632929824948479, 0.26220323200200807, 0.3020081584574053, 0.3180966801262824, 0.3347655815305514, 0.3381313080687846]"
8087,309.4759454559535,135,vehicle.lincoln.mkz_2017,31,"Location(x=30.959990, y=194.289963, z=0.220000)","[0.903279721793173, 0.8896236932366924, 0.8966944278586759, 0.884374107193157, 0.8915498451528897, 0.880418945224058, 0.8897669685514139, 0.8779033392589703, 0.883530741204104, 0.8675118102295079, 0.8700295578202746, 0.8495661126282489, 0.8526135388941137, 0.830587932629334, 0.8329573382845685, 0.8111555544293781, 0.8145570096902959, 0.7942549222211208, 0.7983156138549632, 0.7761464548992498, 0.7850663606255667, 0.7776207295107489, 0.779189237487876, 0.7648901547619932, 0.7695088596907728, 0.7564370234166112, 0.756020866577737, 0.7769403745201, 0.7917187622008086, 0.7508441961670929, 0.7564996561521569, 0.7512372155495294, 0.748416629797019, 0.7036420785600972, 0.7084151335615767, 0.7267559262824568, 0.7023300380494296, 0.7095653788525296, 0.7246013778393863, 0.705878903142086, 0.678578316405207, 0.6494681155380347, 0.6689546968215561, 0.6459172978769582, 0.6560062289733971, 0.6670093945538506, 0.6193564657515648, 0.6319048093523928, 0.628424984806385, 0.6030057696333585, 0.6299204300336244, 0.5918597649066346, 0.5962652116012543, 0.5879011289563019, 0.5544438380957414, 0.5875984547681445, 0.5539893165647048, 0.5950301446407062, 0.6019420794370668, 0.6064215291058279, 0.6812185911075493, 0.7464965871809762, 0.7724091060667886, 0.7392760243676738, 0.7653876005136636, 0.7751076124021629, 0.7514377028902092, 0.7323031755488757, 0.7485664373448014, 0.7290222711595231, 0.7341628507259566, 0.7252638496132318, 0.6878462263927618, 0.694636677527055, 0.7572364040546602, 0.7515032886089527, 0.8138266337609947, 0.0014870932998453604, 0.0916803892704158, 0.08669120118211361, 0.00016489862098410777, 0.00026622305691301223, 0.00025257709005863056, 0.00020691468007040146, 0.00016258646579091652, 0.00012321191566666648, 0.09254785650998137, 0.0979973818460208, 0.08326227704932097, 0.27898408137014086, 0.4111214584593338, 0.000596152533489128, 0.0001762693506398783, 1.32585620191512e-05, 4.640726316236013e-05, 5.9005008144276853e-05, 5.4837793555666054e-05, 0.09349950055382113, 0.06531112448866225, 0.09816760522428057, 0.11682082474610397, 0.17541103666578778, 0.2486234510205931, 0.3418100557817394, 0.5258413922020679, 0.700040716296904, 0.8640879800237778, 0.9934660531309468, 1.0232407778916206, 1.0768356165095643, 1.12830517585919, 1.3459872200839549, 1.4777007661824333, 1.547676519606668, 1.6302806219781099, 1.667260268119064, 1.7294005656318314, 1.7423598120751336, 1.7829090318126921, 1.7957820233999722, 1.8529709664035423, 1.9217233817364128, 1.8987670940834085, 1.8916718150043372, 1.8253762159287268, 1.4386806566224801, 1.1516993963218076, 1.1965508103637341, 1.2043468620010418, 1.1802166297673753, 1.1751572931545275, 0.007597886196164827, 0.2900485872885562, 0.4346819135152633, 0.5325081227187091, 0.55765150907441, 0.5739589399254478, 0.5917575991501767, 0.5908479772399851, 0.6068983736558732, 0.0009747830778387975, 0.08829246827190543, 0.06119112782241397, 0.0873848505692966, 0.06923940036088427, 0.10168949398592585, 0.075234782901088, 0.09780215758478954, 0.09381357622188644, 0.19944001098507685, 0.19135102746944208, 0.22900525974198074, 0.28537559058319834, 0.0004078012718573241, 0.06938618524392574, 0.0421521051538667, 0.06709014894539005, 0.041479856689388, 0.06756243899347744, 0.04297883522652575, 0.06971948659578088, 0.04574375522191485, 0.07279137019226108, 0.049083402998722235, 0.07623707316408945, 0.052688351713949075, 0.0798685275365537, 0.05642786731744352, 0.08363277585424603, 0.07118551488910063, 0.00021264730633204312, 0.10242839802423549, 0.07779010337353182, 0.06913149759059095, 0.10391465292951792, 0.061869091782010964, 0.09296934850505677, 0.05439184881679954, 0.08659973882951427, 0.04802341951899699, 0.08141183188260788, 0.04301445167272787, 0.07643922268658478, 0.038139139039609374, 0.07164583597995773, 0.03341968500477582, 0.06698234289839035, 0.02877218703701076, 0.062397198817626176, 0.02427963329920732, 0.057974343990822075, 0.020302994823838624, 0.0545004336592211, 0.017053305689185283, 0.05273014647577421, 0.046483078530274245, 0.04669597332408631, 0.04649998220570129, 0.04635575810765175, 0.04605485544043321, 0.045827915710827415, 0.045502401761324154, 0.04525873549628286, 0.04492308465407792, 0.04467730357241523, 0.044096582399580024, 0.04377141364359034, 0.04353197873925695, 0.043210875184705434, 0.042977731437794486, 0.04266089744487738, 0.0424284116834059, 0.042119662241822786, 0.04188780974114527, 0.04158516615472142, 0.0413629961492658, 0.04106761111034369, 0.04085149904295114, 0.04055039630880109, 0.04032840790772843, 0.04003606214246627, 0.039816853026439884, 5.829699393145487e-05, 6.024644003008773e-06, 1.4052065616043161e-05, 1.829561303156608e-05, 1.702823742441542e-05, 1.3845780623664012e-05, 1.0904577730440464e-05, 8.351563439550825e-06, 2.7158332494091823e-06, 3.816515099911564e-06, 3.6282379075261733e-06, 3.031337044373438e-06, 0.012198716779611237, 0.011119834887035282, 0.026539754338786428, 0.010356462065592627, 0.10223703206944856, 0.24483077934250475, 0.28472970884698295, 0.46302939132102944, 0.5316685729261155, 0.6037959574383068, 0.6223684169448483, 0.6074117733795332, 0.6398471155085285]"
8678,339.0259458962828,135,vehicle.lincoln.mkz_2017,44,"Location(x=39.270000, y=227.129990, z=0.220000)","[5.679564532376613, 5.934715748908214, 6.056483270493353, 6.2065957551060995, 6.23004057867585, 6.284697403842247, 6.185778932731885, 6.163029843986208, 6.014661133758203, 5.960081955630866, 5.783282393269855, 5.7106990870825, 5.51451024945453, 5.430334809656949, 5.248957885552905, 5.185166904942521, 5.0206439259449205, 4.993344259343124, 4.994697459275573, 5.005229486629993, 4.939566413593291, 4.975501274713286]"
