Frame,Timestamp,VehicleID,Spectator_Location,Spectator_Rotation,Vehicle_Location,Vehicle_Rotation,Vehicle_Velocity,Vehicle_Control
3037,99.99620583560318,135,"(193.99452209472656,155.0699005126953,15.254901885986328)","(-45.000003814697266,-89.9998779296875,2.414836444586399e-06)","(193.9945526123047,145.0699462890625,0.2545236051082611)","(0.016262680292129517,-89.99983978271484,-0.05322265625)","Vector3D(x=0.002410, y=-0.000148, z=-0.007431)","('throttle':(0.0,),'brake':(0.2524602711200714,),'steering':(-1.8193962603163527e-07,),'hand_brake':False,'gear':0)"
3038,100.04620583634824,135,"(193.99452209472656,155.06993103027344,15.254522323608398)","(-45.000003814697266,-89.9998779296875,2.414836444586399e-06)","(193.9945526123047,145.06997680664062,0.25426650047302246)","(0.01162498164921999,-89.99983978271484,-0.0402831956744194)","Vector3D(x=0.001823, y=-0.000106, z=-0.005065)","('throttle':(0.0,),'brake':(0.18740874528884888,),'steering':(-9.189714234025814e-08,),'hand_brake':False,'gear':0)"
3039,100.0962058370933,135,"(193.99452209472656,155.06997680664062,15.254265785217285)","(-45.000003814697266,-89.9998779296875,2.414836444586399e-06)","(193.9945831298828,145.0699920654297,0.2540934979915619)","(0.008305509574711323,-89.99980926513672,-0.03048705868422985)","Vector3D(x=0.001379, y=-0.000076, z=-0.003432)","('throttle':(0.0,),'brake':(0.14499999582767487,),'steering':(-1.0477575251854887e-08,),'hand_brake':False,'gear':0)"
3040,100.14620583783835,135,"(193.9945526123047,155.0699920654297,15.2540922164917)","(-45.000003814697266,-89.9998779296875,2.414836444586399e-06)","(193.99462890625,145.0700225830078,0.25397783517837524)","(0.005935434252023697,-89.99981689453125,-0.02307128719985485)","Vector3D(x=0.001043, y=-0.000054, z=-0.002310)","('throttle':(0.0,),'brake':(0.14499999582767487,),'steering':(-1.0985814036246211e-08,),'hand_brake':False,'gear':0)"
3041,100.19620583858341,135,"(193.9945831298828,155.0700225830078,15.25397777557373)","(-45.000003814697266,-89.9998779296875,2.414836444586399e-06)","(193.99459838867188,145.0700225830078,0.25390106439590454)","(0.004241547081619501,-89.99981689453125,-0.01745605282485485)","Vector3D(x=0.000789, y=-0.000039, z=-0.001548)","('throttle':(0.0,),'brake':(0.14499999582767487,),'steering':(-1.4115180135831906e-07,),'hand_brake':False,'gear':0)"
3042,100.24620583932847,135,"(193.99456787109375,155.0700225830078,15.253901481628418)","(-45.000003814697266,-89.9998779296875,2.414836444586399e-06)","(193.99459838867188,145.0700225830078,0.25390106439590454)","(0.004241547081619501,-89.99981689453125,-0.01745605282485485)","Vector3D(x=0.000000, y=0.000000, z=0.000000)","('throttle':(0.0,),'brake':(0.14499999582767487,),'steering':(-1.253761325870073e-07,),'hand_brake':False,'gear':0)"
3043,100.29620584007353,135,"(193.99456787109375,155.0700225830078,15.253901481628418)","(-45.000003814697266,-89.9998779296875,2.414836444586399e-06)","(193.99456787109375,145.07003784179688,0.2538462281227112)","(0.002814037725329399,-89.99983978271484,-0.01165771298110485)","Vector3D(x=0.000038, y=-0.000014, z=-0.000406)","('throttle':(0.15700000524520874,),'brake':(0.0,),'steering':(6.54253540233185e-08,),'hand_brake':False,'gear':0)"
3044,100.34620584081858,135,"(193.99452209472656,155.07003784179688,15.253846168518066)","(-45.000003814697266,-89.9998779296875,2.414836444586399e-06)","(193.9945526123047,145.07005310058594,0.2538289725780487)","(0.0022403020411729813,-89.99983978271484,-0.009094237349927425)","Vector3D(x=0.000032, y=-0.000015, z=-0.000451)","('throttle':(0.0,),'brake':(0.14499999582767487,),'steering':(1.1602092087059646e-07,),'hand_brake':False,'gear':0)"
3045,100.39620584156364,135,"(193.99452209472656,155.07003784179688,15.253829002380371)","(-45.000003814697266,-89.9998779296875,2.414836444586399e-06)","(193.9945526123047,145.07005310058594,0.2538122236728668)","(0.0017143774311989546,-89.99983978271484,-0.006988524459302425)","Vector3D(x=0.000025, y=-0.000013, z=-0.000403)","('throttle':(0.0,),'brake':(0.14499999582767487,),'steering':(1.1054190451886825e-07,),'hand_brake':False,'gear':0)"
3046,100.4462058423087,135,"(193.99452209472656,155.07003784179688,15.253811836242676)","(-45.000003814697266,-89.9998779296875,2.414836444586399e-06)","(193.99452209472656,145.07005310058594,0.2537979781627655)","(0.0012772453483194113,-89.99983978271484,-0.005340575240552425)","Vector3D(x=0.000019, y=-0.000010, z=-0.000330)","('throttle':(0.0,),'brake':(0.14499999582767487,),'steering':(3.514123392278634e-08,),'hand_brake':False,'gear':0)"
