Frame,Timestamp,VehicleID,Spectator_Location,Spectator_Rotation,Vehicle_Location,Vehicle_Rotation,Vehicle_Velocity,Vehicle_Control
1989,71.28550394577906,135,"(124.5400619506836,109.6147232055664,15.253758430480957)","(-44.99999237060547,0.0009216171456500888,0.0)","(134.5428009033203,109.61885833740234,0.23412734270095825)","(0.4976270794868469,-0.009979248978197575,-1.4489744901657104)","Vector3D(x=-0.011703, y=-0.252051, z=1.141127)","('throttle':(0.0,),'brake':(0.14499999582767487,),'steering':(-2.1023418962217063e-17,),'hand_brake':False,'gear':0)"
1990,71.33550394652411,135,"(124.54280090332031,109.62059020996094,15.234127044677734)","(-44.99999237060547,-0.009979247115552425,5.895596233429501e-10)","(134.54371643066406,109.61390686035156,0.2668006718158722)","(0.6622346043586731,-0.0178527794778347,-1.637908935546875)","Vector3D(x=-0.001360, y=-0.048164, z=0.439711)","('throttle':(0.0,),'brake':(0.15570910274982452,),'steering':(-1.5633129805792123e-05,),'hand_brake':False,'gear':0)"
1991,71.38550394726917,135,"(124.54371643066406,109.61701965332031,15.266799926757812)","(-44.99999237060547,-0.01785278134047985,-5.895596233429501e-10)","(134.54348754882812,109.6131591796875,0.2779839336872101)","(0.6189107298851013,-0.014678954146802425,-1.407714605331421)","Vector3D(x=0.002485, y=0.041609, z=0.103043)","('throttle':(0.0,),'brake':(0.14499999582767487,),'steering':(-8.041540422709659e-05,),'hand_brake':False,'gear':0)"
1992,71.43550394801423,135,"(124.5434799194336,109.61572265625,15.277982711791992)","(-44.99999237060547,-0.01467895321547985,0.0)","(134.5428924560547,109.61341857910156,0.27907508611679077)","(0.5121207237243652,-0.009552001021802425,-1.114288330078125)","Vector3D(x=0.003331, y=0.047121, z=-0.043919)","('throttle':(0.0,),'brake':(0.23420313000679016,),'steering':(2.975905044877436e-05,),'hand_brake':False,'gear':0)"
1993,71.48550394875929,135,"(124.54288482666016,109.61508178710938,15.279074668884277)","(-44.99999237060547,-0.009552001021802425,2.9477981167147504e-10)","(134.542236328125,109.61373138427734,0.2760009765625)","(0.3997846245765686,-0.005676268599927425,-0.8566895127296448)","Vector3D(x=0.003074, y=0.039298, z=-0.095923)","('throttle':(0.0,),'brake':(0.32909005880355835,),'steering':(7.894436748756561e-06,),'hand_brake':False,'gear':0)"
1994,71.53550394950435,135,"(124.542236328125,109.6147232055664,15.2760009765625)","(-44.99999237060547,-0.005676268134266138,2.9477981167147504e-10)","(134.5417022705078,109.61398315429688,0.27169543504714966)","(0.30211973190307617,-0.0032043459359556437,-0.651885986328125)","Vector3D(x=0.002509, y=0.030443, z=-0.103259)","('throttle':(0.0,),'brake':(0.25314393639564514,),'steering':(-1.2100817912141792e-05,),'hand_brake':False,'gear':0)"
1995,71.5855039502494,135,"(124.54169464111328,109.61454010009766,15.271695137023926)","(-44.99999237060547,-0.003204345004633069,-1.4738990583573752e-10)","(134.54124450683594,109.61416625976562,0.26749610900878906)","(0.223866268992424,-0.0017395017202943563,-0.49423202872276306)","Vector3D(x=0.001934, y=0.023057, z=-0.091916)","('throttle':(0.0,),'brake':(0.24314677715301514,),'steering':(-1.317950136581203e-05,),'hand_brake':False,'gear':0)"
1996,71.63550395099446,135,"(124.5412368774414,109.61447143554688,15.267496109008789)","(-44.99999237060547,-0.0017395016038790345,-7.369495291786876e-11)","(134.54090881347656,109.61429595947266,0.2639211118221283)","(0.16382208466529846,-0.0008850098238326609,-0.374267578125)","Vector3D(x=0.001447, y=0.017353, z=-0.074737)","('throttle':(0.0,),'brake':(0.2720319926738739,),'steering':(-1.3746568583883345e-05,),'hand_brake':False,'gear':0)"
1997,71.68550395173952,135,"(124.54090881347656,109.61444854736328,15.263920783996582)","(-44.99999237060547,-0.0008850095910020173,-3.684747645893438e-11)","(134.5406494140625,109.61439514160156,0.2610897421836853)","(0.11890675872564316,-0.0004272460355423391,-0.2832641303539276)","Vector3D(x=0.001063, y=0.013051, z=-0.057618)","('throttle':(0.0,),'brake':(0.3056259751319885,),'steering':(-1.2806047379854135e-05,),'hand_brake':False,'gear':0)"
1998,71.73550395248458,135,"(124.54064178466797,109.61447143554688,15.261088371276855)","(-44.99999237060547,-0.0004272459773346782,0.0)","(134.54046630859375,109.61446380615234,0.25894689559936523)","(0.08585547655820847,-0.00015258787607308477,-0.2143859565258026)","Vector3D(x=0.000773, y=0.009824, z=-0.042888)","('throttle':(0.0,),'brake':(0.33969834446907043,),'steering':(-3.711814997586771e-06,),'hand_brake':False,'gear':0)"
1999,71.78550395322964,135,"(124.54046630859375,109.6144790649414,15.258947372436523)","(-44.99999237060547,-0.00015258784696925431,0.0)","(134.54034423828125,109.61451721191406,0.25737452507019043)","(0.06174490600824356,-3.0517578125e-05,-0.162261962890625)","Vector3D(x=0.000558, y=0.007404, z=-0.031133)","('throttle':(0.0,),'brake':(0.36984992027282715,),'steering':(-2.976896212203428e-06,),'hand_brake':False,'gear':0)"
