Frame,Timestamp,VehicleID,Spectator_Location,Spectator_Rotation,Vehicle_Location,Vehicle_Rotation,Vehicle_Velocity,Vehicle_Control
788,33.370597599539906,135,"(189.77528381347656,203.16993713378906,15.253758430480957)","(-44.9999885559082,90.00083923339844,9.659344868850894e-06)","(189.77114868164062,213.17279052734375,0.2341274619102478)","(0.4976270794868469,89.98998260498047,-1.448974609375)","Vector3D(x=0.252052, y=-0.011703, z=1.141127)","('throttle':(0.0,),'brake':(0.14499999582767487,),'steering':(-1.149806065390432e-16,),'hand_brake':False,'gear':0)"
789,33.420597600284964,135,"(189.76939392089844,203.17279052734375,15.234127044677734)","(-44.9999885559082,89.9899673461914,0.0)","(189.776123046875,213.1737060546875,0.2668008506298065)","(0.6622482538223267,89.98216247558594,-1.637939691543579)","Vector3D(x=0.048167, y=-0.001361, z=0.439711)","('throttle':(0.0,),'brake':(0.15571138262748718,),'steering':(-6.510329694719985e-05,),'hand_brake':False,'gear':0)"
790,33.47059760103002,135,"(189.77301025390625,203.1737060546875,15.266799926757812)","(-45.000003814697266,89.98216247558594,0.0)","(189.77687072753906,213.17344665527344,0.277984082698822)","(0.6189175844192505,89.9853286743164,-1.40771484375)","Vector3D(x=-0.041609, y=0.002485, z=0.103043)","('throttle':(0.0,),'brake':(0.14499999582767487,),'steering':(-4.2685609514592215e-05,),'hand_brake':False,'gear':0)"
791,33.52059760177508,135,"(189.77430725097656,203.17343139648438,15.277982711791992)","(-44.9999885559082,89.98533630371094,0.0)","(189.77659606933594,213.17288208007812,0.2790749967098236)","(0.5121275782585144,89.99043273925781,-1.114288330078125)","Vector3D(x=-0.047120, y=0.003330, z=-0.043920)","('throttle':(0.0,),'brake':(0.2341875433921814,),'steering':(0.00012053222599206492,),'hand_brake':False,'gear':0)"
792,33.57059760252014,135,"(189.77493286132812,203.17288208007812,15.279074668884277)","(-44.9999885559082,89.99041748046875,0.0)","(189.77626037597656,213.1722869873047,0.2760009765625)","(0.39979827404022217,89.99433135986328,-0.856689453125)","Vector3D(x=-0.039298, y=0.003074, z=-0.095925)","('throttle':(0.0,),'brake':(0.32910653948783875,),'steering':(3.119105167570524e-05,),'hand_brake':False,'gear':0)"
793,33.620597603265196,135,"(189.7752685546875,203.1722869873047,15.2760009765625)","(-44.9999885559082,89.99433135986328,-4.829672434425447e-06)","(189.7760467529297,213.1717071533203,0.27169525623321533)","(0.3021334111690521,89.996826171875,-0.6518860459327698)","Vector3D(x=-0.030444, y=0.002509, z=-0.103263)","('throttle':(0.0,),'brake':(0.25313445925712585,),'steering':(-6.1101031860744115e-06,),'hand_brake':False,'gear':0)"
794,33.670597604010254,135,"(189.77548217773438,203.17169189453125,15.271695137023926)","(-44.9999885559082,89.99681091308594,2.4148362172127236e-06)","(189.77587890625,213.1712646484375,0.2674962282180786)","(0.22387993335723877,89.99826049804688,-0.49426260590553284)","Vector3D(x=-0.023057, y=0.001934, z=-0.091916)","('throttle':(0.0,),'brake':(0.24313487112522125,),'steering':(-1.416397572029382e-05,),'hand_brake':False,'gear':0)"
795,33.72059760475531,135,"(189.7755584716797,203.1712646484375,15.267496109008789)","(-44.9999885559082,89.99824523925781,0.0)","(189.77574157714844,213.17092895507812,0.26392120122909546)","(0.16382890939712524,89.99910736083984,-0.3742675185203552)","Vector3D(x=-0.017354, y=0.001447, z=-0.074739)","('throttle':(0.0,),'brake':(0.2721203863620758,),'steering':(-6.973723429837264e-06,),'hand_brake':False,'gear':0)"
796,33.77059760550037,135,"(189.7755889892578,203.17092895507812,15.263920783996582)","(-44.9999885559082,89.99909210205078,0.0)","(189.77566528320312,213.17071533203125,0.26108992099761963)","(0.11891358345746994,89.99957275390625,-0.28326416015625)","Vector3D(x=-0.013051, y=0.001063, z=-0.057622)","('throttle':(0.0,),'brake':(0.3056212365627289,),'steering':(-2.7445303203421645e-06,),'hand_brake':False,'gear':0)"
797,33.82059760624543,135,"(189.7755889892578,203.17071533203125,15.261089324951172)","(-44.9999885559082,89.99954986572266,-2.4148362172127236e-06)","(189.7755889892578,213.17051696777344,0.2589466869831085)","(0.08585547655820847,89.99983978271484,-0.21438592672348022)","Vector3D(x=-0.009824, y=0.000773, z=-0.042891)","('throttle':(0.0,),'brake':(0.3396940529346466,),'steering':(-2.277708972542314e-06,),'hand_brake':False,'gear':0)"
799,33.920597607735544,135,"(189.77554321289062,203.17034912109375,15.257373809814453)","(-45.000003814697266,89.99994659423828,4.829672889172798e-06)","(189.77549743652344,213.17022705078125,0.2562471032142639)","(0.04432109370827675,90.00007629394531,-0.12280271202325821)","Vector3D(x=-0.005587, y=0.000402, z=-0.022183)","('throttle':(0.0,),'brake':(0.38595402240753174,),'steering':(-1.390498709952226e-06,),'hand_brake':False,'gear':0)"
800,33.9705976084806,135,"(189.77549743652344,203.17022705078125,15.256247520446777)","(-44.99999237060547,90.00006866455078,2.414836444586399e-06)","(189.77548217773438,213.17013549804688,0.2554532289505005)","(0.03176720812916756,90.00010681152344,-0.0929260104894638)","Vector3D(x=-0.004219, y=0.000288, z=-0.015575)","('throttle':(0.0,),'brake':(0.40046876668930054,),'steering':(-6.401220389307127e-07,),'hand_brake':False,'gear':0)"
801,34.02059760922566,135,"(189.77548217773438,203.17013549804688,15.255452156066895)","(-44.99999237060547,90.00006866455078,2.414836444586399e-06)","(189.77545166015625,213.17007446289062,0.25490203499794006)","(0.022730868309736252,90.0001220703125,-0.070343017578125)","Vector3D(x=-0.003188, y=0.000207, z=-0.010810)","('throttle':(0.0,),'brake':(0.3408886194229126,),'steering':(-4.077086828147003e-07,),'hand_brake':False,'gear':0)"
