Frame,Timestamp,VehicleID,Spectator_Location,Spectator_Rotation,Vehicle_Location,Vehicle_Rotation,Vehicle_Velocity,Vehicle_Control
2900,113.85171299381182,135,"(58.19989013671875,105.77539825439453,15.254522323608398)","(-44.99999237060547,-179.99993896484375,0.0)","(48.19992446899414,105.7753677368164,0.2542664706707001)","(0.01162498164921999,-179.99986267089844,-0.0402831993997097)","Vector3D(x=-0.000106, y=-0.001823, z=-0.005065)","('throttle':(0.0,),'brake':(0.18722498416900635,),'steering':(-7.054915585058552e-08,),'hand_brake':False,'gear':0)"
2901,113.90171299455687,135,"(58.19992446899414,105.775390625,15.254265785217285)","(-44.99999237060547,-179.99993896484375,0.0)","(48.199951171875,105.77536010742188,0.2540934383869171)","(0.008312339894473553,-179.99986267089844,-0.03048705868422985)","Vector3D(x=-0.000076, y=-0.001379, z=-0.003431)","('throttle':(0.0,),'brake':(0.14499999582767487,),'steering':(-6.99036064588654e-08,),'hand_brake':False,'gear':0)"
2902,113.95171299530193,135,"(58.199951171875,105.77537536621094,15.2540922164917)","(-44.99999237060547,-179.99993896484375,0.0)","(48.19996643066406,105.77536010742188,0.25397777557373047)","(0.0059422641061246395,-179.99986267089844,-0.02307128719985485)","Vector3D(x=-0.000054, y=-0.001043, z=-0.002308)","('throttle':(0.0,),'brake':(0.14499999582767487,),'steering':(-5.694593951943716e-08,),'hand_brake':False,'gear':0)"
2903,114.00171299604699,135,"(58.1999626159668,105.77537536621094,15.25397777557373)","(-44.99999237060547,-179.99993896484375,0.0)","(48.199974060058594,105.77535247802734,0.25390109419822693)","(0.004241547081619501,-179.99981689453125,-0.01745605282485485)","Vector3D(x=-0.000039, y=-0.000790, z=-0.001549)","('throttle':(0.0,),'brake':(0.14499999582767487,),'steering':(-4.599154834750152e-08,),'hand_brake':False,'gear':0)"
2904,114.05171299679205,135,"(58.199974060058594,105.77537536621094,15.253901481628418)","(-44.99998092651367,-179.9998016357422,0.0)","(48.199974060058594,105.77535247802734,0.25390109419822693)","(0.004241547081619501,-179.99981689453125,-0.01745605282485485)","Vector3D(x=0.000000, y=0.000000, z=0.000000)","('throttle':(0.0,),'brake':(0.14499999582767487,),'steering':(-3.2892362611391945e-08,),'hand_brake':False,'gear':0)"
2905,114.1017129975371,135,"(58.199974060058594,105.77537536621094,15.253901481628418)","(-44.99998092651367,-179.9998016357422,0.0)","(48.19998550415039,105.77536010742188,0.2538463771343231)","(0.002807207638397813,-179.99981689453125,-0.011657713912427425)","Vector3D(x=-0.000014, y=-0.000038, z=-0.000406)","('throttle':(0.15700000524520874,),'brake':(0.0,),'steering':(-1.0886665791076666e-07,),'hand_brake':False,'gear':0)"
2906,114.15171299828216,135,"(58.19998550415039,105.775390625,15.253846168518066)","(-44.99998092651367,-179.9998016357422,0.0)","(48.199989318847656,105.7753677368164,0.25382906198501587)","(0.0022403020411729813,-179.99981689453125,-0.00909423828125)","Vector3D(x=-0.000015, y=-0.000032, z=-0.000452)","('throttle':(0.0,),'brake':(0.14499999582767487,),'steering':(-1.1170105551627785e-07,),'hand_brake':False,'gear':0)"
2907,114.20171299902722,135,"(58.199989318847656,105.77539825439453,15.253829002380371)","(-44.99998092651367,-179.9998016357422,0.0)","(48.19999313354492,105.775390625,0.2538122832775116)","(0.0017143774311989546,-179.99981689453125,-0.006988524924963713)","Vector3D(x=-0.000013, y=-0.000025, z=-0.000405)","('throttle':(0.7527670860290527,),'brake':(0.0,),'steering':(0.0007687866454944015,),'hand_brake':False,'gear':0)"
2908,114.25171299977228,135,"(58.19999313354492,105.77542114257812,15.253811836242676)","(-44.99998092651367,-179.9998016357422,0.0)","(48.20000076293945,105.77539825439453,0.2537980079650879)","(0.0012772453483194113,-179.99981689453125,-0.005340575706213713)","Vector3D(x=-0.000010, y=-0.000019, z=-0.000330)","('throttle':(0.915676474571228,),'brake':(0.0,),'steering':(0.001444733701646328,),'hand_brake':False,'gear':0)"
2909,114.30171300051734,135,"(58.19999694824219,105.77542877197266,15.25379753112793)","(-44.99998092651367,-179.9998016357422,0.0)","(48.20000076293945,105.77540588378906,0.25378674268722534)","(0.0009357358794659376,-179.99981689453125,-0.004058837424963713)","Vector3D(x=-0.000008, y=-0.000015, z=-0.000258)","('throttle':(0.7439735531806946,),'brake':(0.0,),'steering':(0.0014449204318225384,),'hand_brake':False,'gear':0)"
2910,114.3517130012624,135,"(58.19999694824219,105.77543640136719,15.253786087036133)","(-44.99998092651367,-179.9998016357422,0.0)","(48.20000457763672,105.77542114257812,0.2537781000137329)","(0.0006830188794992864,-179.99981689453125,-0.0030822751577943563)","Vector3D(x=-0.000006, y=-0.000011, z=-0.000192)","('throttle':(0.9211593270301819,),'brake':(0.0,),'steering':(0.0013203815324231982,),'hand_brake':False,'gear':0)"
2911,114.40171300200745,135,"(58.20000457763672,105.77544403076172,15.253777503967285)","(-44.99998092651367,-179.9998016357422,0.0)","(48.20000457763672,105.77542114257812,0.2537717819213867)","(0.0004917735932394862,-179.99981689453125,-0.002349853515625)","Vector3D(x=-0.000004, y=-0.000009, z=-0.000137)","('throttle':(0.713432252407074,),'brake':(0.0,),'steering':(0.0012993450509384274,),'hand_brake':False,'gear':0)"
2912,114.45171300275251,135,"(58.20000457763672,105.77544403076172,15.253771781921387)","(-44.99998092651367,-179.9998016357422,0.0)","(48.20000457763672,105.77542877197266,0.2537672817707062)","(0.00035516981733962893,-179.99981689453125,-0.0018005369929596782)","Vector3D(x=-0.000003, y=-0.000006, z=-0.000098)","('throttle':(0.7562160491943359,),'brake':(0.0,),'steering':(0.0008263300987891853,),'hand_brake':False,'gear':0)"
2913,114.50171300349757,135,"(58.20000457763672,105.77545928955078,15.253767013549805)","(-44.99998092651367,-179.9998016357422,0.0)","(48.20000457763672,105.77542877197266,0.2537659704685211)","(0.0003073585103265941,-179.99981689453125,-0.0015563963679596782)","Vector3D(x=-0.000001, y=-0.000004, z=-0.000030)","('throttle':(0.9168599247932434,),'brake':(0.0,),'steering':(0.0004065045795869082,),'hand_brake':False,'gear':0)"
2914,114.55171300424263,135,"(58.20000457763672,105.77545928955078,15.253765106201172)","(-44.99998092651367,-179.9998016357422,0.0)","(48.20000457763672,105.77542877197266,0.2537645995616913)","(0.0002527169999666512,-179.99981689453125,-0.0012207030085846782)","Vector3D(x=-0.000002, y=-0.000004, z=-0.000040)","('throttle':(0.3093467652797699,),'brake':(0.0,),'steering':(0.0003870319633278996,),'hand_brake':False,'gear':0)"
2915,114.60171300498769,135,"(58.20000457763672,105.77545928955078,15.253764152526855)","(-44.99998092651367,-179.9998016357422,0.0)","(48.20000457763672,105.77542877197266,0.25376322865486145)","(0.00019807547505479306,-179.99981689453125,-0.0009460448054596782)","Vector3D(x=-0.000001, y=-0.000003, z=-0.000040)","('throttle':(0.7568649649620056,),'brake':(0.0,),'steering':(0.0003638928465079516,),'hand_brake':False,'gear':0)"
2916,114.65171300573274,135,"(58.20000457763672,105.77545928955078,15.253763198852539)","(-44.99998092651367,-179.9998016357422,0.0)","(48.20000457763672,105.77542877197266,0.2537617087364197)","(0.000150264153489843,-179.99981689453125,-0.000732421875)","Vector3D(x=-0.000001, y=-0.000003, z=-0.000036)","('throttle':(0.9170650243759155,),'brake':(0.0,),'steering':(0.0002573839155957103,),'hand_brake':False,'gear':0)"
2917,114.7017130064778,135,"(58.20000457763672,105.77545928955078,15.25376033782959)","(-44.99998092651367,-179.9998016357422,0.0)","(48.20000457763672,105.77543640136719,0.2537606358528137)","(0.00010928302071988583,-179.99981689453125,-0.00054931640625)","Vector3D(x=-0.000001, y=-0.000002, z=-0.000027)","('throttle':(0.46865224838256836,),'brake':(0.0,),'steering':(0.00019523354421835393,),'hand_brake':False,'gear':0)"
2918,114.75171300722286,135,"(58.20000457763672,105.77546691894531,15.253759384155273)","(-44.99998092651367,-179.9998016357422,0.0)","(48.192840576171875,105.77542877197266,0.25362566113471985)","(0.015511359088122845,179.9999237060547,-0.00042724609375)","Vector3D(x=-0.312559, y=-0.000080, z=-0.000020)","('throttle':(0.7436537146568298,),'brake':(0.0,),'steering':(0.00018756312783807516,),'hand_brake':False,'gear':0)"
2919,114.80171300796792,135,"(58.192840576171875,105.77540588378906,15.25362491607666)","(-44.99998092651367,179.99989318847656,0.0)","(48.166873931884766,105.77542877197266,0.2533379793167114)","(0.04856264218688011,179.9999542236328,-0.0003356933011673391)","Vector3D(x=-0.641008, y=-0.000110, z=-0.000017)","('throttle':(0.30031436681747437,),'brake':(0.0,),'steering':(0.00017855236364994198,),'hand_brake':False,'gear':1)"
